	Epoch	Indicateur	Temps	Accuracy
0	0	1	0.040744781494140625	0.9462311558
1	0	2	0.0005750656127929688	0.0201005025
2	0	3	0.0005240440368652344	0.0345058626
3	0	4	0.0005347728729248047	0.0324958124
4	1	1	6.632853031158447	0.9505862647
5	1	2	6.156049966812134	0.9800670017
6	1	3	6.319775819778442	0.9654941374
7	1	4	8.321308851242065	0.9675041876
8	2	1	13.289872884750366	0.9505862647
9	2	2	12.524008989334106	0.8159128978
10	2	3	12.219961881637573	0.867001675
11	2	4	12.746426820755005	0.9675041876
12	3	1	18.755281925201416	0.9505862647
13	3	2	18.555623054504395	0.9795644891
14	3	3	20.619027853012085	0.9654941374
15	3	4	18.576828956604004	0.9675041876
16	4	1	25.73723292350769	0.9505862647
17	4	2	24.809617042541504	0.9798994975
18	4	3	24.948593854904175	0.9654941374
19	4	4	24.86791491508484	0.9673366834
20	5	1	31.478739976882935	0.9505862647
21	5	2	32.7309889793396	0.9798994975
22	5	3	31.0207622051239	0.9654941374
23	5	4	32.01061201095581	0.9675041876
